ip,timestamp,method,url,status,size,user_agent,url_length,special_char_ratio,has_sql_keywords,has_xss_pattern,path_depth,num_query_params,anomaly_score,is_anomaly,anomaly_type
192.168.1.10,20/May/2025:08:05:24 +0800,GET,/note?content=<math><mtext></mtext><mglyph><svg><mtext><textarea><path id='</textarea><img onerror=alert(1) src=1>'>,404,4648,python-requests/2.31.0,116,0.27586206896551724,1,1,0,1,0.8545791838529894,1,XSS攻击
45.33.32.100,20/May/2025:22:19:27 +0800,GET,/terms.html,304,313,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,11,0.09090909090909091,0,0,0,0,0.0,0,正常
1.1.1.1,20/May/2025:19:51:23 +0800,GET,/category/clothing,200,13100,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,18,0.1111111111111111,0,0,1,0,0.12088889255257311,0,正常
172.16.0.15,20/May/2025:22:19:43 +0800,GET,/api/products?page=1,200,18793,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,20,0.2,0,0,1,1,0.17589686625199608,0,正常
10.0.0.8,20/May/2025:16:40:42 +0800,GET,/get?file=/var/log/apache2/access.log,200,2413,Wget/1.21.3,37,0.1891891891891892,0,0,0,1,0.20481172201196501,0,正常
203.0.113.10,20/May/2025:20:44:18 +0800,GET,/images/logo.png,200,863,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,16,0.125,0,0,1,0,0.1790458069822886,0,正常
10.0.0.12,20/May/2025:13:42:35 +0800,GET,/static/fonts/arial.woff,200,43255,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,24,0.125,0,0,2,0,0.5425787596690497,0,正常
172.16.0.15,20/May/2025:13:56:51 +0800,GET,/css/style.css,200,39158,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.0.0 Mobile Safari/537.36,14,0.14285714285714285,0,0,1,0,0.19931633558722886,0,正常
192.168.1.12,20/May/2025:14:21:00 +0800,GET,/api/item?id=1; DROP TABLE users;--,200,996,Wget/1.21.3,35,0.22857142857142856,1,0,1,1,0.585441435853197,1,SQL注入
172.16.0.7,20/May/2025:12:40:23 +0800,GET,/category/clothing,200,12530,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,18,0.1111111111111111,0,0,1,0,0.12088889255257311,0,正常
10.0.0.5,20/May/2025:20:39:37 +0800,GET,/view?template=../../../windows/system32/config/sam,400,1587,Mozilla/5.0 (compatible; Nmap Scripting Engine),51,0.17647058823529413,0,0,0,1,0.36498470508254666,1,路径遍历
1.1.1.1,20/May/2025:15:19:13 +0800,GET,/api/user?id=3,301,9368,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,14,0.2857142857142857,0,0,1,1,0.4250937424549962,0,正常
8.8.8.8,20/May/2025:23:28:27 +0800,GET,/profile/settings,200,26358,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,17,0.11764705882352941,0,0,1,0,0.10452535195500579,0,正常
10.0.0.12,20/May/2025:15:17:59 +0800,GET,/index.html,200,806,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,11,0.09090909090909091,0,0,0,0,0.0,0,正常
203.0.113.5,20/May/2025:11:02:57 +0800,GET,/contact.html,200,3573,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,13,0.07692307692307693,0,0,0,0,0.3762649369429833,0,正常
10.0.0.5,20/May/2025:11:24:30 +0800,GET,/search?q=<body onload=alert(1)>,400,4065,Wget/1.21.3,32,0.25,0,1,0,1,0.25939519289033136,1,XSS攻击
192.168.1.12,20/May/2025:19:04:52 +0800,GET,/api/v2/data?limit=20&offset=0,200,22467,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,30,0.23333333333333334,0,0,2,2,0.8321492608079802,1,未知异常
172.16.0.15,20/May/2025:03:43:22 +0800,GET,/help/faq.html,301,7813,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,14,0.14285714285714285,0,0,1,0,0.19931633558722886,0,正常
192.168.1.10,20/May/2025:22:37:27 +0800,GET,/dashboard,301,21369,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,10,0.1,0,0,0,0,0.4211127014307052,0,正常
10.0.0.5,20/May/2025:02:58:36 +0800,GET,/view?id=1'; EXEC xp_cmdshell('dir');--,500,214,Wget/1.21.3,39,0.3076923076923077,1,0,0,1,0.481063911123328,1,SQL注入
192.168.1.10,20/May/2025:08:32:59 +0800,GET,/download?file=../../../etc/passwd,500,1089,sqlmap/1.7,34,0.20588235294117646,0,0,0,1,0.2130243670859868,1,路径遍历
192.168.1.11,20/May/2025:16:51:31 +0800,GET,/api/item?id=1; DROP TABLE users;--,400,2488,sqlmap/1.7,35,0.22857142857142856,1,0,1,1,0.585441435853197,1,SQL注入
114.114.114.114,20/May/2025:07:56:26 +0800,GET,/terms.html,301,24048,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,11,0.09090909090909091,0,0,0,0,0.0,0,正常
10.0.0.20,20/May/2025:17:47:36 +0800,GET,/input?val=<iframe src=javascript:alert(1)>,200,3442,Wget/1.21.3,43,0.18604651162790697,0,1,0,1,0.21790216986509967,1,XSS攻击
114.114.114.114,20/May/2025:21:57:11 +0800,GET,/robots.txt,200,8065,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,11,0.09090909090909091,0,0,0,0,0.0,0,正常
223.5.5.5,20/May/2025:19:57:04 +0800,GET,/category/clothing,301,46694,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,18,0.1111111111111111,0,0,1,0,0.12088889255257311,0,正常
10.0.0.8,20/May/2025:05:16:38 +0800,GET,/images/../../../etc/hosts,200,2604,Wget/1.21.3,26,0.23076923076923078,0,0,5,0,1.0,1,路径遍历
10.0.0.20,20/May/2025:20:39:52 +0800,GET,/css/bootstrap.min.css,200,7504,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,22,0.09090909090909091,0,0,1,0,0.37134367342794,0,正常
192.168.1.11,20/May/2025:06:31:32 +0800,GET,/api/data?id=1' OR 'a'='a,200,441,curl/8.4.0,25,0.36,1,0,1,1,0.6657606811381037,1,SQL注入
203.0.113.5,20/May/2025:04:23:29 +0800,GET,/api/user?id=3,200,24507,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,14,0.2857142857142857,0,0,1,1,0.4250937424549962,0,正常
172.16.0.7,20/May/2025:06:45:33 +0800,GET,/images/logo.png,200,43783,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,16,0.125,0,0,1,0,0.1790458069822886,0,正常
223.5.5.5,20/May/2025:17:46:55 +0800,GET,/login.html,200,46122,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,11,0.09090909090909091,0,0,0,0,0.0,0,正常
172.16.0.7,20/May/2025:21:01:48 +0800,GET,/about.html,200,8680,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,11,0.09090909090909091,0,0,0,0,0.0,0,正常
1.1.1.1,20/May/2025:19:01:36 +0800,GET,/dashboard,200,18138,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,10,0.1,0,0,0,0,0.4211127014307052,0,正常
1.1.1.1,20/May/2025:21:18:31 +0800,GET,/contact.html,301,29276,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,13,0.07692307692307693,0,0,0,0,0.3762649369429833,0,正常
192.168.1.12,20/May/2025:12:23:20 +0800,GET,/include?page=..%c0%af..%c0%af..%c0%afetc/passwd,500,1938,Wget/1.21.3,36,0.1111111111111111,0,0,0,1,0.3720467579562914,0,正常
1.1.1.1,20/May/2025:22:37:05 +0800,GET,/static/fonts/arial.woff,200,35449,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,24,0.125,0,0,2,0,0.5425787596690497,0,正常
10.0.0.5,20/May/2025:15:58:19 +0800,GET,/search?q=<script>alert(1)</script>,400,3812,Hydra/9.4,35,0.2857142857142857,0,1,0,1,0.2903738868700842,1,XSS攻击
192.168.1.11,20/May/2025:09:49:32 +0800,GET,/api/notifications?unread=true,200,37857,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.0.0 Mobile Safari/537.36,30,0.13333333333333333,0,0,1,1,0.27730928082755046,0,正常
10.0.0.5,20/May/2025:14:53:19 +0800,GET,/note?content=<math><mtext></mtext><mglyph><svg><mtext><textarea><path id='</textarea><img onerror=alert(1) src=1>'>,500,2788,python-requests/2.31.0,116,0.27586206896551724,1,1,0,1,0.8545791838529894,1,XSS攻击
45.33.32.100,20/May/2025:05:38:13 +0800,GET,/help/faq.html,301,19875,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.0.0 Mobile Safari/537.36,14,0.14285714285714285,0,0,1,0,0.19931633558722886,0,正常
8.8.8.8,20/May/2025:23:56:54 +0800,GET,/api/products?page=1,200,36368,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.0.0 Mobile Safari/537.36,20,0.2,0,0,1,1,0.17589686625199608,0,正常
192.168.1.15,20/May/2025:18:41:14 +0800,GET,/input?val=<iframe src=javascript:alert(1)>,403,3600,curl/8.4.0,43,0.18604651162790697,0,1,0,1,0.21790216986509967,1,XSS攻击
192.168.1.12,20/May/2025:23:25:13 +0800,GET,/read?path=....//....//....//etc/passwd,500,1158,curl/8.4.0,39,0.2564102564102564,0,0,0,1,0.2299033851549451,1,路径遍历
10.0.0.20,20/May/2025:05:36:56 +0800,GET,/review?text=<img src=x onerror=eval(atob('YWxlcnQoMSk='))>,400,1187,Mozilla/5.0 (compatible; Nmap Scripting Engine),59,0.23728813559322035,1,1,0,1,0.4725875135982099,1,XSS攻击
192.168.1.11,20/May/2025:18:13:48 +0800,GET,/view?template=../../../windows/system32/config/sam,400,2162,Hydra/9.4,51,0.17647058823529413,0,0,0,1,0.36498470508254666,1,路径遍历
172.16.0.7,20/May/2025:15:15:50 +0800,GET,/contact.html,200,28707,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,13,0.07692307692307693,0,0,0,0,0.3762649369429833,0,正常
192.168.1.15,20/May/2025:11:11:08 +0800,GET,/load?name=..%252f..%252f..%252fetc/passwd,400,2029,sqlmap/1.7,36,0.19444444444444445,0,0,0,1,0.2007618285473515,0,正常
66.249.66.1,20/May/2025:23:06:14 +0800,GET,/category/electronics,200,4493,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,21,0.09523809523809523,0,0,1,0,0.11768903673298393,0,正常
203.0.113.10,20/May/2025:03:57:01 +0800,GET,/static/fonts/arial.woff,304,14433,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,24,0.125,0,0,2,0,0.5425787596690497,0,正常
192.168.1.10,20/May/2025:23:49:42 +0800,GET,/sitemap.xml,200,33838,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,12,0.08333333333333333,0,0,0,0,0.1632650542420437,0,正常
8.8.8.8,20/May/2025:03:47:27 +0800,GET,/blog/post-1.html,301,47910,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0.0.0 Safari/537.36,17,0.17647058823529413,0,0,1,0,0.15003993332316024,0,正常
198.51.100.7,20/May/2025:16:37:32 +0800,GET,/category/electronics,304,18161,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,21,0.09523809523809523,0,0,1,0,0.11768903673298393,0,正常
223.5.5.5,20/May/2025:20:46:33 +0800,GET,/api/orders?status=active,304,22503,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,25,0.16,0,0,1,1,0.3559522842791986,0,正常
66.249.66.1,20/May/2025:02:03:07 +0800,GET,/static/fonts/arial.woff,200,30875,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,24,0.125,0,0,2,0,0.5425787596690497,0,正常
10.0.0.12,20/May/2025:18:23:05 +0800,GET,/blog/post-1.html,301,47653,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.0.0 Mobile Safari/537.36,17,0.17647058823529413,0,0,1,0,0.15003993332316024,0,正常
203.0.113.5,20/May/2025:00:10:22 +0800,GET,/downloads/manual.pdf,200,28668,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/15E148,21,0.09523809523809523,0,0,1,0,0.11768903673298393,0,正常
198.51.100.7,20/May/2025:20:26:22 +0800,GET,/sitemap.xml,301,25830,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.0.0 Mobile Safari/537.36,12,0.08333333333333333,0,0,0,0,0.1632650542420437,0,正常
172.16.0.15,20/May/2025:11:02:07 +0800,GET,/api/user?id=3,301,10242,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,14,0.2857142857142857,0,0,1,1,0.4250937424549962,0,正常
192.168.1.12,20/May/2025:19:13:11 +0800,GET,/user?name=admin' OR '1'='1,200,985,Mozilla/5.0 (compatible; Nmap Scripting Engine),27,0.2962962962962963,1,0,0,1,0.41662268419892706,1,SQL注入
10.0.0.20,20/May/2025:21:53:14 +0800,GET,/static/fonts/arial.woff,200,34376,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.0.0 Mobile Safari/537.36,24,0.125,0,0,2,0,0.5425787596690497,0,正常
114.114.114.114,20/May/2025:07:55:04 +0800,GET,/category/clothing,200,32111,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,18,0.1111111111111111,0,0,1,0,0.12088889255257311,0,正常
192.168.1.12,20/May/2025:03:53:45 +0800,GET,/..%2F..%2F..%2Fetc%2Fpasswd,200,1437,Wget/1.21.3,20,0.25,0,0,4,0,0.7004716638371997,1,未知异常
10.0.0.8,20/May/2025:12:48:45 +0800,GET,/images/../../../etc/hosts,500,1180,Mozilla/5.0 (compatible; Nmap Scripting Engine),26,0.23076923076923078,0,0,5,0,1.0,1,路径遍历
114.114.114.114,20/May/2025:15:53:17 +0800,GET,/robots.txt,200,30232,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,11,0.09090909090909091,0,0,0,0,0.0,0,正常
66.249.66.1,20/May/2025:00:45:08 +0800,GET,/favicon.ico,301,43310,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.0.0 Mobile Safari/537.36,12,0.08333333333333333,0,0,0,0,0.1632650542420437,0,正常
